question_id,cluster,cosine_distance_to_cluster_centroid,domain,source,conflict,question
62,1,0.3610152268718898,Higher Education,"Cases, Rules, & Guidelines - Association for Practical and Professional Ethics",Inclusion vs Intellectual Diversity,"A private university is redesigning its educational mission to foster an environment in which every student feels respected, supported, and able to participate fully in campus life. Administrators are considering changes to admissions, curriculum, student organizations, and campus policies intended to improve inclusion for historically marginalized groups. Some faculty and students worry that certain approaches may unintentionally discourage the expression of unpopular viewpoints or reduce opportunities for genuine intellectual disagreement. Others argue that creating an inclusive learning environment sometimes requires placing limits on conduct or speech that undermines students’ ability to participate equally in academic life."
63,1,0.29803533810121396,Technology / Relationships,"Cases, Rules, & Guidelines - Association for Practical and Professional Ethics",Human Connection vs Technological Convenience,"Artificial intelligence systems have become capable of providing highly personalized emotional support, companionship, and conversation. Many people rely on these systems to reduce loneliness, practice difficult conversations, or receive encouragement during stressful periods of life. Mental health professionals disagree about whether encouraging these relationships ultimately helps individuals build healthier human relationships or instead risks replacing genuine interpersonal connection with interactions that merely simulate empathy. Developers must consider what role AI companions should play in addressing widespread social isolation."
64,1,0.34566333749048317,Family,"Cases, Rules, & Guidelines - Association for Practical and Professional Ethics",Personal Fulfillment vs Familial Obligation,"An adult has the opportunity to accept a career position that fulfills a lifelong professional goal but requires relocating permanently to another country. Accepting the position would mean leaving behind aging parents who are still independent but increasingly rely on emotional support and occasional assistance. Other family members believe pursuing one’s own aspirations is both reasonable and healthy, while some argue that adult children acquire growing responsibilities toward aging parents as their needs increase. The individual must decide how competing obligations to personal fulfillment and family should be balanced."
65,2,0.2951580591026728,Freelancing,Ask a Manager,Transparency vs Professional Reputation,"A freelancer discovers that one of the standard deliverables expected by clients has been missing from every project they have completed over the past year. The omission was entirely unintentional, and no client has explicitly complained or requested the missing document. The freelancer has since learned that experienced professionals routinely include it and realizes clients may have quietly noticed its absence. They must decide whether to proactively acknowledge the mistake to ongoing clients, simply begin including the missing deliverable in future work without explanation, or take some other approach."
66,1,0.34556479618818614,Healthcare,Ask a Manager,Professional Duty vs Organizational Incentives,"A physician works for a healthcare organization that receives additional reimbursement when patient records include extensive documentation of potential health risks and secondary diagnoses. The additional documentation is legal and often medically relevant, but completing it substantially reduces the time physicians can spend speaking directly with patients. Administrators strongly encourage the practice and emphasize the financial benefits it brings to the organization, while physicians receive no additional compensation for the extra work. One physician begins intentionally limiting this documentation in order to prioritize patient care during appointments, despite repeated encouragement from management to maximize reporting."
67,1,0.30942254486272214,Workplace Leadership,Ask a Manager,Accountability vs Redemption,"A senior manager loses their temper during a high-pressure meeting and angrily confronts another department head in front of several colleagues. The manager apologizes immediately and again the following day. As part of the company’s response, the manager is required to complete professional coaching focused on emotional regulation. While some coworkers view the incident as an isolated mistake followed by genuine accountability, others question whether someone who has displayed this behavior can continue leading effectively. The organization must determine how past conduct, sincere remorse, and future trust should be weighed when evaluating leadership."
68,2,0.29859609016167843,Workplace,Ask a Manager,Professional Boundaries vs Cooperation,"After a departmental restructuring, an employee transitions into an entirely new role with different responsibilities. Although managers repeatedly communicate the change, coworkers continue asking the employee to perform tasks from their previous position because “it’s faster” or “you’re good at it.” Helping occasionally makes everyone’s work easier in the short term, but it prevents the employee from succeeding in their new role and discourages others from learning responsibilities they now own. The employee must decide how firmly to enforce professional boundaries while maintaining positive working relationships."
69,2,0.3477174412316515,Hiring,Ask a Manager,Loyalty vs Fair Hiring,"You are serving on a hiring committee for a position on your team. One applicant is a former colleague whom you know to be highly competent, reliable, and pleasant to work with. The rest of the committee has no personal connection to any candidate. You believe your prior experience gives you useful information that interviews cannot capture, but you also worry that your enthusiasm could unfairly influence the committee’s decision. You must decide how much weight, if any, your personal experience should receive during the hiring process."
70,2,0.33085335749274813,Professional References,Ask a Manager,Honesty vs Compassion,"A former employee asks you to serve as a professional reference while applying for a job they are excited about. During their time working with you, they were dependable and well-liked but consistently struggled with one important aspect of the job that is directly relevant to the new position. Providing a completely positive reference may help them secure an opportunity that could improve their life, while disclosing your concerns could significantly reduce their chances of being hired. You must decide what information you have an ethical obligation to share."
71,2,0.3851251913094256,Research / Academia,Ask a Manager,Objectivity vs Personal Relationships,"You are asked to anonymously review a research paper for publication. After accepting the assignment, you realize the work was almost certainly written by a close professional collaborator whose research you deeply respect. You believe you can evaluate the paper fairly, but you also recognize that your positive opinion of the author’s past work may unconsciously influence your judgment. Declining the review would delay publication and burden the journal with finding another qualified reviewer. You must decide whether to continue reviewing the paper or disclose the potential conflict of interest."
72,1,0.30445917932692756,Refugees,Classroom Resources | Carnegie Council on Ethics in International Affairs,Human Responsibility vs National Capacity,"A civil war has displaced millions of people into a neighboring country whose government says it can no longer support the growing refugee population. Several nearby countries disagree over how responsibility should be shared. Some argue that every nation has a humanitarian obligation to accept refugees regardless of domestic political costs, while others contend that governments’ primary responsibility is to their own citizens and that accepting large numbers of refugees could create long-term economic and social instability. If no agreement is reached, many displaced people may be forced to remain indefinitely in overcrowded camps or be returned to unsafe conditions."
73,1,0.3057128391232906,Space Governance,Classroom Resources | Carnegie Council on Ethics in International Affairs,Innovation vs Common Ownership,Private companies and national governments have begun developing technologies capable of extracting valuable minerals from the Moon. One country argues that whoever first develops the technology and assumes the financial risks should have exclusive rights to those resources. Others argue that celestial bodies should be treated as a shared resource belonging equally to all humanity. International negotiators must determine how ownership and access to extraterrestrial resources should be governed.
74,1,0.3938044305572652,Space Security,Classroom Resources | Carnegie Council on Ethics in International Affairs,National Defense vs Global Stability,"Military satellites have become essential for communication, navigation, intelligence gathering, and national defense. During an international crisis, one country considers disabling another country’s satellites before open conflict begins, believing this would reduce casualties by weakening its opponent’s military capabilities. Critics argue that attacks on space infrastructure could escalate conflict, harm civilians around the world, and undermine the peaceful use of outer space. Leaders must decide whether such actions can ever be ethically justified."
75,1,0.34605138491393606,Democracy,Classroom Resources | Carnegie Council on Ethics in International Affairs,Democratic Legitimacy vs Protection of Institutions,"A political leader is repeatedly elected through free and competitive elections but gradually weakens the independence of courts, restricts press freedoms, and reduces protections for political opponents while remaining broadly popular with voters. Other democratic nations must decide whether to continue treating the government as a fully legitimate democratic partner or whether protecting democratic institutions sometimes justifies diplomatic or economic pressure against an elected government."
76,1,0.3667384748624163,International Relations,Classroom Resources | Carnegie Council on Ethics in International Affairs,Sovereignty vs Humanitarian Invervention,"A civil war has led a government to carry out widespread attacks that intentionally or recklessly kill large numbers of civilians. Neighboring countries possess the military capability to stop the violence but would have to violate the country’s sovereignty by intervening without its consent. Some argue that preventing mass atrocities outweighs respect for national sovereignty, while others warn that military intervention often produces unintended consequences and may worsen the conflict. International leaders must determine whether armed intervention is ethically justified."
77,1,0.358569535254328,Warfare,Classroom Resources | Carnegie Council on Ethics in International Affairs,Preventive Security vs Justified Use of Force,Two neighboring countries have long been rivals. One begins constructing large military installations near the shared border but has not threatened or attacked its neighbor. Intelligence agencies disagree about whether the buildup signals preparation for invasion or is purely defensive. Political leaders in the neighboring country are debating whether launching a preventive military strike before an attack occurs would better protect their citizens or instead violate the moral principles governing the use of force.
78,1,0.43914621567237555,Counterterrorism,Classroom Resources | Carnegie Council on Ethics in International Affairs,Civilian Protection vs National Security,"Following a devastating terrorist attack, intelligence agencies identify a location where they believe the leaders of the terrorist organization are hiding. The information is credible but uncertain, and civilians are likely to be present. Waiting for better intelligence increases the risk of future attacks, while acting immediately may cause civilian casualties and inflame regional tensions. Decision-makers must determine what level of uncertainty and collateral risk is ethically acceptable when responding to terrorism."
79,1,0.39579804415111053,International Cooperation,Classroom Resources | Carnegie Council on Ethics in International Affairs,Self-Interest vs Collective Action,"Several countries recognize that solving a global problem—such as climate change, pandemic preparedness, or artificial intelligence governance—requires coordinated international action. Each country would benefit if everyone cooperated, but acting first would impose immediate economic or political costs that competitors might avoid. Leaders must determine whether governments have ethical obligations to accept short-term national disadvantages in order to improve long-term outcomes for the international community."
80,1,0.4163225704807325,Healthcare Policy,The BMJ: Head to head,Individual Freedom vs Public Health,"During an outbreak of a highly contagious disease, public health officials recommend making vaccination mandatory for healthcare workers who have direct contact with vulnerable patients. Most medical professionals support the policy, arguing that healthcare workers have special ethical obligations to minimize preventable risks to patients. Others contend that mandatory vaccination violates bodily autonomy and that healthcare workers should retain the same freedom of medical choice as other citizens, particularly when the vaccines carry small but nonzero risks. Healthcare systems must determine whether professional responsibilities justify limiting individual autonomy."
81,1,0.3678530763759904,Medical Innovation,The BMJ: Head to head,Scientific Progress vs Ethical Restraint,"A new gene-editing technology could permanently eliminate a serious inherited disease before birth by modifying human embryos. Early evidence suggests the treatment is effective, but scientists remain uncertain about possible unintended genetic consequences that could affect future generations. Some researchers argue that preventing avoidable suffering justifies carefully regulated use of the technology, while others believe altering the human germline crosses an ethical boundary regardless of potential benefits. Regulators must determine whether clinical use should be permitted."
82,1,0.2776731580381351,Artificial Intelligence,The BMJ: Head to head,Efficiency vs Professional Judgement,"Artificial intelligence systems have become capable of diagnosing certain diseases as accurately—or more accurately—than experienced physicians in controlled testing. Some hospitals propose allowing AI systems to make routine diagnostic decisions independently, with physicians reviewing only unusual or disputed cases. Supporters argue that this approach would reduce costs, improve consistency, and expand access to care. Critics worry that removing physicians from routine decisions could erode professional judgment, reduce accountability, and overlook uniquely human aspects of medical care."
83,1,0.3595601968697446,Public Health,The BMJ: Head to head,Personal Privacy vs Medical Benefit,"Researchers propose creating a national health database containing anonymized medical records from every citizen to accelerate research on diseases, improve treatment recommendations, and better detect public health threats. Although strict safeguards would be implemented, some citizens object to having their medical information included without explicit consent, arguing that privacy should not be sacrificed for societal benefit. Others contend that widespread participation is ethically justified because everyone stands to benefit from improved healthcare knowledge."
84,1,0.3539968601337864,Disaster Response,Original,Equal Treatment vs. Maximizing Benefit,"A powerful earthquake devastates a large city, leaving emergency responders with far fewer rescue teams than locations requesting assistance. Officials receive credible reports that one collapsed building contains dozens of trapped residents with only a small chance of survival, while another contains far fewer people but a much greater likelihood of successful rescue. Rescue teams cannot reach both locations in time. Leaders must decide whether resources should be directed toward saving the greatest number of lives, helping those in greatest need regardless of probability, or according to some other principle."
85,1,0.30734621402466344,Historical Justice,Original,Truth vs. Social Stability,"A newly elected government discovers extensive evidence that previous administrations concealed widespread human rights abuses committed decades earlier. Publishing the records would provide long-awaited answers for victims and their families, but intelligence officials warn that full disclosure could reignite ethnic tensions, undermine trust in public institutions, and destabilize a fragile peace that has lasted for many years. Government leaders must determine whether complete historical transparency should outweigh concerns about present-day stability."
86,1,0.32042366619001084,Cultural Heritage,Original,Cultural Exchange vs. Cultural Respect,"A fashion company plans to release a new collection inspired by the traditional clothing and artistic symbols of a small Indigenous community. Designers worked carefully to understand the culture and openly credit their inspiration, but members of the community disagree over whether commercialization honors their traditions or exploits them for profit. Some welcome broader recognition of their culture, while others believe certain symbols should remain closely tied to the community that created them. The company must decide whether and how cultural traditions should be incorporated into commercial products."
87,1,0.39499628441942225,Animal Ethics,Original,Human Benefit vs. Animal Welfare,"Scientists have developed a genetically modified species of livestock that experiences significantly less pain and stress throughout its life while also producing more food using fewer environmental resources. Critics argue that improving animal welfare within industrial farming legitimizes practices that should instead be reduced or eliminated altogether. Others contend that if society continues consuming animal products, reducing suffering represents a meaningful ethical improvement. Policymakers must determine whether adopting the new technology is ethically justified."
88,1,0.3489464183651574,Scientific Policy,Original,Precaution vs. Innovation,"Researchers develop a promising new technology with the potential to solve major global challenges but whose long-term environmental and societal effects remain poorly understood. Early testing has revealed no significant harms, yet experts acknowledge that some risks may not become apparent for decades. Some argue that delaying deployment until greater certainty is achieved could unnecessarily postpone enormous benefits, while others believe uncertainty itself creates an ethical obligation to proceed cautiously. Regulators must determine how much evidence should be required before widespread adoption."
89,1,0.34195790581235475,Civic Responsibility,Original,Freedom vs. Civic Obligation,"A government is considering requiring every adult citizen to complete one year of national service, with participants able to choose among military service, disaster relief, environmental restoration, education, or healthcare support. Supporters argue that shared service strengthens communities, develops civic responsibility, and addresses critical public needs. Opponents contend that compelling individuals to devote a year of their lives to government-directed service violates personal liberty, regardless of the available options. Lawmakers must decide whether civic obligations can ethically justify mandatory service."
90,1,0.4190815401840553,Personal Ethics,Original,Special Obligations vs. Impartial Morality,"While walking home, you discover a wallet containing a large amount of cash along with identification belonging to someone who appears to be financially secure. Later that evening, you learn through a community organization that a family in your neighborhood urgently needs nearly the same amount of money to avoid eviction and has exhausted all available assistance. Returning the wallet would restore someone’s rightful property, while using the money to help the family could dramatically improve several lives. There is virtually no chance your actions would ever be discovered. You must decide what ethical obligations arise from finding another person’s property."
91,2,0.4457231153371374,Healthcare,Original,Confidentiality vs Preventing Harm,"You are a mental health professional meeting with a patient who describes increasingly severe thoughts of ending their own life. They are calm, cooperative, and ask you not to involve family members or emergency services, explaining that they sought help specifically because they wanted confidential support. You believe there is some possibility of imminent harm but are uncertain how immediate the risk truly is. Breaking confidentiality could damage the therapeutic relationship and discourage future help-seeking, while maintaining confidentiality could expose the patient to significant danger. What do you believe is the most ethically justified course of action?"
92,2,0.4103348541303947,Online Communities,Original,Freedom of Expression vs Responsibility to Protect,"While moderating a large online community, you notice a long post from a member expressing profound hopelessness and suggesting they may not want to continue living. Other members are responding with empathy, but no one knows the person’s real identity or location. Removing the post could reduce harmful discussion but might also silence someone reaching out for help. Leaving it untouched could allow supportive conversations to continue, but it also risks missing an opportunity to intervene if the situation is urgent. As the moderator, what do you believe is the most ethically justified course of action?"
